source_root,relative_path,extension,size_bytes,relevance_score,matched_keywords,contains_range32,contains_32track,contains_scan_order,contains_heat_load,contains_abaqus,contains_mdb,contains_job,notes
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\boundary_inp_summary.csv,.csv,186,7,cae;inp;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\boundary_inp_summary.md,.md,276,7,cae;inp;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\Job_2D_32track_block_interleaved_quarters_finalcool_v01.inp,.inp,108043,9,cae;abaqus;inp;track;32track;full;model;generate;lded,False,True,False,True,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\Job_2D_32track_block_interleaved_quarters_finalcool_v01_sequential_run_manifest.json,.json,1644,11,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\Job_2D_32track_block_interleaved_quarters_finalcool_v01_sequential_run_report.md,.md,1505,8,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\strategy_build_manifest.json,.json,27119,25,cae;inp;heat;load;track;scan;32track;full;model;lded,False,True,True,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\strategy_build_report.md,.md,1834,20,cae;inp;heat;load;track;scan;32track;full;model;lded;thermal,False,True,False,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\strategy_order.csv,.csv,2298,12,cae;heat;load;track;scan;32track;full;model;lded,False,False,False,True,False,False,False,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\strategy_order.json,.json,8920,22,cae;inp;heat;load;track;scan;32track;full;model;lded,False,True,True,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\boundary_inp_summary.csv,.csv,186,7,cae;inp;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\boundary_inp_summary.md,.md,276,7,cae;inp;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\center_edge_alternating_32track_finalcool_v01.jnl,.jnl,27557,16,cae;jnl;heat;load;track;scan;32track;full;model;lded,False,True,False,True,False,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\Job_2D_32track_center_edge_alternating_finalcool_v01.inp,.inp,108040,9,cae;abaqus;inp;track;32track;full;model;generate;lded,False,True,False,True,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\Job_2D_32track_center_edge_alternating_finalcool_v01_sequential_run_manifest.json,.json,1626,11,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\Job_2D_32track_center_edge_alternating_finalcool_v01_sequential_run_report.md,.md,1487,8,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\strategy_build_manifest.json,.json,27092,25,cae;inp;heat;load;track;scan;32track;full;model;lded,False,True,True,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\strategy_build_report.md,.md,1816,20,cae;inp;heat;load;track;scan;32track;full;model;lded;thermal,False,True,False,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\strategy_order.csv,.csv,2298,12,cae;heat;load;track;scan;32track;full;model;lded,False,False,False,True,False,False,False,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_edge_alternating\strategy_order.json,.json,8896,22,cae;inp;heat;load;track;scan;32track;full;model;lded,False,True,True,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\boundary_inp_summary.csv,.csv,376,7,cae;inp;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\boundary_inp_summary.md,.md,590,8,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\center_out_32track_finalcool_v01.jnl,.jnl,27526,16,cae;jnl;heat;load;track;scan;32track;full;model;lded,False,True,False,True,False,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\Job_2D_32track_center_out_finalcool_v01.inp,.inp,108027,9,cae;abaqus;inp;track;32track;full;model;generate;lded,False,True,False,True,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\Job_2D_32track_center_out_finalcool_v01_run_manifest.json,.json,9811,11,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\Job_2D_32track_center_out_finalcool_v01_run_report.md,.md,7276,8,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\aux_stress_history_xge4mm.csv,.csv,17451,10,cae;track;scan;32track;full;model;lded;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\peeq_threshold_history_xge4mm.csv,.csv,16006,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\teacher_score_candidate_summary.csv,.csv,3053,11,cae;track;scan;32track;full;model;lded;thermal;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\teacher_time_history_metrics_manifest.json,.json,23188,11,cae;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\teacher_time_history_metrics_report.md,.md,2448,11,cae;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\temperature_threshold_history_xge4mm.csv,.csv,17283,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\time_history_frame_metrics_full.csv,.csv,41163,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\time_history_frame_metrics_xge4mm.csv,.csv,41322,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\time_history_frame_metrics_xge6mm.csv,.csv,39214,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\u_history_xge4mm.csv,.csv,15996,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\warning_element_mentions.csv,.csv,50,8,cae;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\postprocess_teacher_metrics_center_out_v01\warning_type_summary.csv,.csv,141,8,cae;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\strategy_build_manifest.json,.json,25463,25,cae;inp;heat;load;track;scan;32track;full;model;lded,False,True,True,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\strategy_build_report.md,.md,5086,20,cae;inp;heat;load;track;scan;32track;full;model;lded;thermal,False,True,False,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\strategy_order.csv,.csv,2298,12,cae;heat;load;track;scan;32track;full;model;lded,False,False,False,True,False,False,False,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\center_out\strategy_order.json,.json,8509,21,cae;heat;load;track;scan;32track;full;model;lded,False,True,True,True,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_comparison.csv,.csv,4892,7,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_comparison.json,.json,14920,7,cae;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_comparison.md,.md,6970,10,cae;inp;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_normalized_components.csv,.csv,2945,9,cae;track;scan;32track;full;model;lded;thermal;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_normalized_scores.csv,.csv,602,9,cae;track;scan;32track;full;model;lded;thermal;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_normalized_scores.json,.json,10763,9,cae;track;scan;32track;full;model;lded;thermal;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\compare_scan_strategies_v01\scan_strategy_teacher_metric_normalized_scores.md,.md,730,9,cae;track;scan;32track;full;model;lded;thermal;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\boundary_inp_summary.csv,.csv,376,7,cae;inp;track;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\boundary_inp_summary.md,.md,584,8,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\edge_in_32track_finalcool_v01.jnl,.jnl,27523,16,cae;jnl;heat;load;track;scan;32track;full;model;lded,False,True,False,True,False,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\Job_2D_32track_edge_in_finalcool_v01.inp,.inp,108024,9,cae;abaqus;inp;track;32track;full;model;generate;lded,False,True,False,True,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\Job_2D_32track_edge_in_finalcool_v01_run_manifest.json,.json,9784,11,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\Job_2D_32track_edge_in_finalcool_v01_run_report.md,.md,7252,8,cae;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\postprocess_teacher_metrics_edge_in_v01\aux_stress_history_xge4mm.csv,.csv,17507,10,cae;track;scan;32track;full;model;lded;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\postprocess_teacher_metrics_edge_in_v01\peeq_threshold_history_xge4mm.csv,.csv,16023,9,cae;track;scan;32track;full;model;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\postprocess_teacher_metrics_edge_in_v01\teacher_score_candidate_summary.csv,.csv,3047,11,cae;track;scan;32track;full;model;lded;thermal;stress,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\edge_in\postprocess_teacher_metrics_edge_in_v01\teacher_time_history_metrics_manifest.json,.json,23176,11,cae;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,False,False,True,supporting source or documentation
