n,candidate_id,strategy_name,candidate_family,candidate_source,generation_method,seed_strategy,mutation_type,mutation_distance,order_json,order_compact,order_hash,is_existing_teacher_order,priority_n_role,existing_reward_mean_all,pred_reward_mean_all,pred_reward_v01_u2_primary,pred_u2_score_rank,pred_peeq_score_rank,pred_surfaceT_score_rank,tree_prediction_mean,pred_uncertainty_std,pred_rank_within_n,pred_percentile_within_n,ensemble_disagreement_flag,nearest_existing_strategy,novelty_distance_to_nearest_existing,diversity_score,selection_bucket,shortlist_rank_within_n,teacher_batch20_rank_within_n
24,RUN12_N24_C03770,N24_RUN12_N24_C03770_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N24_A02_odd_even_interlaced,reverse_short_segment,1,"[0,2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23]","0,2,4,6,8,10,12,22,20,18,16,14,1,3,5,7,9,11,13,15,17,19,21,23",f52328be9b886aa6,False,core_unseen_intermediate_N_target,,0.8347378384911193,0.882965513752606,0.8931757857674215,0.8623645457608667,0.3877933171933183,0.8347378384911193,0.10394682141434419,2,0.9992088607594937,False,N24_A02_odd_even_interlaced,0.036231884057971016,0.036231884057971016,surrogate_top,1,1
24,RUN12_N24_C03804,N24_RUN12_N24_C03804_mutate_rotate_sequence,mutation,surrogate_mutation,mutate_rotate_sequence,N24_A02_odd_even_interlaced,rotate_sequence,2,"[3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20,22,1]","3,5,7,9,11,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20,22,1",86481d26a31f8c7e,False,core_unseen_intermediate_N_target,,0.719315156280346,0.7639323749484741,0.7411643626927934,0.8148238125135449,0.6957568027210882,0.7193151562803458,0.1942215495915949,169,0.8670886075949367,True,N24_A01_raster_left_to_right,0.358695652173913,0.358695652173913,diversity_top,16,2
24,RUN12_N24_C03389,N24_RUN12_N24_C03389_method_c_mutated_topology_like,method_c_inspired,method_c_inspired,method_c_mutated_topology_like,,,,"[0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,12,10,13,15,16,18,19,21,22]","0,23,11,17,5,8,14,20,2,1,3,4,6,7,9,12,10,13,15,16,18,19,21,22",cd519fa4db1b9112,False,core_unseen_intermediate_N_target,,0.5489598384131847,0.5444637239245684,0.5342802036984075,0.5417584323320271,0.41232501050948867,0.5489598384131847,0.10997570694666914,560,0.557753164556962,False,N24_A03_greedy_maximin_distance,0.0036231884057971015,0.0036231884057971015,method_c_inspired,21,3
24,RUN12_N24_C03428,N24_RUN12_N24_C03428_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N24_A04_method_c_u2_first_engineering,reverse_short_segment,1,"[0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,23,21,19]","0,2,4,6,8,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,23,21,19",85ba9118903cc6ba,False,core_unseen_intermediate_N_target,,0.82620638507642,0.879274612392062,0.8774189830463329,0.8583325162824086,0.40541171222158046,0.82620638507642,0.11953695102806776,3,0.9984177215189873,False,N24_A04_method_c_u2_first_engineering,0.010869565217391304,0.010869565217391304,surrogate_top,2,4
24,RUN12_N24_C03479,N24_RUN12_N24_C03479_mutate_perturb_first_quarter,mutation,surrogate_mutation,mutate_perturb_first_quarter,N24_A04_method_c_u2_first_engineering,perturb_first_quarter,2,"[0,4,8,2,6,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23]","0,4,8,2,6,10,12,14,16,18,20,22,11,9,7,5,3,1,13,15,17,19,21,23",e8ecb4b55f4470e7,False,core_unseen_intermediate_N_target,,0.8222931238041691,0.8674169687969896,0.8755153183546499,0.8361771766345879,0.4211310740125003,0.8222931238041692,0.12347004929761034,4,0.997626582278481,False,N24_A04_method_c_u2_first_engineering,0.010869565217391304,0.010869565217391304,surrogate_top,3,5
40,RUN12_N40_C06776,N40_RUN12_N40_C06776_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N40_A02_odd_even_interlaced,reverse_short_segment,2,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,38,36,34,32,30,9,7,5,3,1,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39]","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,38,36,34,32,30,9,7,5,3,1,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39",bb2b5c78d79354aa,False,core_large_N_target,,0.8395447829355638,0.8838405137526061,0.8933741984658341,0.8703662464411389,0.4020487210594102,0.8395447829355638,0.10432136796679892,2,0.9992088607594937,False,N40_A02_odd_even_interlaced,0.02564102564102564,0.02564102564102564,surrogate_top,1,1
40,RUN12_N40_C06615,N40_RUN12_N40_C06615_mutate_rotate_sequence,mutation,surrogate_mutation,mutate_rotate_sequence,N40_A04_method_c_u2_first_engineering,rotate_sequence,3,"[1,21,23,25,27,29,31,33,35,37,39,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3]","1,21,23,25,27,29,31,33,35,37,39,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3",c633a4543b21db90,False,core_large_N_target,,0.7894239870934516,0.8356264037473871,0.8663972909358968,0.8325236302279871,0.783918231658303,0.7894239870934516,0.11669547856068888,153,0.879746835443038,False,N40_A04_method_c_u2_first_engineering,0.40897435897435896,0.40897435897435896,diversity_top,16,2
40,RUN12_N40_C06558,N40_RUN12_N40_C06558_method_c_mutated_topology_like,method_c_inspired,method_c_inspired,method_c_mutated_topology_like,,,,"[0,39,19,29,9,14,24,34,4,2,6,26,21,16,11,31,36,1,3,5,7,8,10,12,13,15,17,18,20,22,23,25,27,28,30,32,33,35,37,38]","0,39,19,29,9,14,24,34,4,2,6,26,21,16,11,31,36,1,3,5,7,8,10,12,13,15,17,18,20,22,23,25,27,28,30,32,33,35,37,38",dbc1fd6afa741696,False,core_large_N_target,,0.5629030228423816,0.5517559243104792,0.5354281628820808,0.5898680905115383,0.4208885959815563,0.5629030228423818,0.12999538322163598,643,0.49208860759493667,False,N40_A03_greedy_maximin_distance,0.007692307692307693,0.007692307692307693,method_c_inspired,21,3
40,RUN12_N40_C06588,N40_RUN12_N40_C06588_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N40_A04_method_c_u2_first_engineering,reverse_short_segment,1,"[0,2,10,8,6,4,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39]","0,2,10,8,6,4,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,25,27,29,31,33,35,37,39",6a6614d60f60eda1,False,core_large_N_target,,0.838407207071885,0.8845161089907013,0.8835031667198022,0.8720527543776467,0.41184178607644084,0.8384072070718849,0.11608152927012619,3,0.9984177215189873,False,N40_A04_method_c_u2_first_engineering,0.007692307692307693,0.007692307692307693,surrogate_top,2,4
40,RUN12_N40_C06597,N40_RUN12_N40_C06597_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N40_A04_method_c_u2_first_engineering,reverse_short_segment,1,"[0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,35,33,31,29,27,25,37,39]","0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,19,17,15,13,11,9,7,5,3,1,21,23,35,33,31,29,27,25,37,39",bae7306ba5472703,False,core_large_N_target,,0.838407207071885,0.8845161089907013,0.8813206270372628,0.8720527543776467,0.4138259130605678,0.8384072070718849,0.11608152927012619,4,0.997626582278481,False,N40_A04_method_c_u2_first_engineering,0.019230769230769232,0.019230769230769232,surrogate_top,3,5
