n,jnl_path,line,matched_tokens,snippet
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,44,mdb.models,"0041: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0042:     addUndoState=False, entity=
0043:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0044: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0045:     point1=(-0.014, 0.0015))
0046: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0047:     addUndoState=False, entity1="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,46,mdb.models,"0043:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0044: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0045:     point1=(-0.014, 0.0015))
0046: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0047:     addUndoState=False, entity1=
0048:     mdb.models['Model-1'].sketches['__profile__'].vertices[3], entity2=
0049:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,48,mdb.models,"0045:     point1=(-0.014, 0.0015))
0046: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0047:     addUndoState=False, entity1=
0048:     mdb.models['Model-1'].sketches['__profile__'].vertices[3], entity2=
0049:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0050: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0051:     addUndoState=False, entity="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,49,mdb.models,"0046: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0047:     addUndoState=False, entity1=
0048:     mdb.models['Model-1'].sketches['__profile__'].vertices[3], entity2=
0049:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0050: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0051:     addUndoState=False, entity=
0052:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,50,mdb.models,"0047:     addUndoState=False, entity1=
0048:     mdb.models['Model-1'].sketches['__profile__'].vertices[3], entity2=
0049:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0050: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0051:     addUndoState=False, entity=
0052:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0053: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=90.0,"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,52,mdb.models,"0049:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0050: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0051:     addUndoState=False, entity=
0052:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0053: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=90.0,
0054:     point1=(-0.014, -0.0015))
0055: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint("
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,53,mdb.models,"0050: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0051:     addUndoState=False, entity=
0052:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0053: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=90.0,
0054:     point1=(-0.014, -0.0015))
0055: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0056:     addUndoState=False, entity1="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,55,mdb.models,"0052:     mdb.models['Model-1'].sketches['__profile__'].geometry[7])
0053: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=90.0,
0054:     point1=(-0.014, -0.0015))
0055: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0056:     addUndoState=False, entity1=
0057:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0058:     mdb.models['Model-1'].sketches['__profile__'].geometry[8])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,57,mdb.models,"0054:     point1=(-0.014, -0.0015))
0055: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0056:     addUndoState=False, entity1=
0057:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0058:     mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0059: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0060:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[8])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,58,mdb.models,"0055: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0056:     addUndoState=False, entity1=
0057:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0058:     mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0059: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0060:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0061: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.0133141051381826,"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,59,mdb.models,"0056:     addUndoState=False, entity1=
0057:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0058:     mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0059: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0060:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0061: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.0133141051381826,
0062:     0.0015), point2=(-0.0133141051381826, -0.00150000000651926))"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,60,mdb.models,"0057:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0058:     mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0059: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0060:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0061: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.0133141051381826,
0062:     0.0015), point2=(-0.0133141051381826, -0.00150000000651926))
0063: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,61,mdb.models,"0058:     mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0059: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0060:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0061: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.0133141051381826,
0062:     0.0015), point2=(-0.0133141051381826, -0.00150000000651926))
0063: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0064:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[9])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,63,mdb.models,"0060:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[8])
0061: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.0133141051381826,
0062:     0.0015), point2=(-0.0133141051381826, -0.00150000000651926))
0063: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0064:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0065: mdb.models['Model-1'].sketches['__profile__'].PerpendicularConstraint(
0066:     addUndoState=False, entity1="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,64,mdb.models,"0061: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.0133141051381826,
0062:     0.0015), point2=(-0.0133141051381826, -0.00150000000651926))
0063: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0064:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0065: mdb.models['Model-1'].sketches['__profile__'].PerpendicularConstraint(
0066:     addUndoState=False, entity1=
0067:     mdb.models['Model-1'].sketches['__profile__'].geometry[4], entity2="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,65,mdb.models,"0062:     0.0015), point2=(-0.0133141051381826, -0.00150000000651926))
0063: mdb.models['Model-1'].sketches['__profile__'].VerticalConstraint(addUndoState=
0064:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0065: mdb.models['Model-1'].sketches['__profile__'].PerpendicularConstraint(
0066:     addUndoState=False, entity1=
0067:     mdb.models['Model-1'].sketches['__profile__'].geometry[4], entity2=
0068:     mdb.models['Model-1'].sketches['__profile__'].geometry[9])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,67,mdb.models,"0064:     False, entity=mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0065: mdb.models['Model-1'].sketches['__profile__'].PerpendicularConstraint(
0066:     addUndoState=False, entity1=
0067:     mdb.models['Model-1'].sketches['__profile__'].geometry[4], entity2=
0068:     mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0069: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0070:     addUndoState=False, entity1="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,68,mdb.models,"0065: mdb.models['Model-1'].sketches['__profile__'].PerpendicularConstraint(
0066:     addUndoState=False, entity1=
0067:     mdb.models['Model-1'].sketches['__profile__'].geometry[4], entity2=
0068:     mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0069: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0070:     addUndoState=False, entity1=
0071:     mdb.models['Model-1'].sketches['__profile__'].vertices[4], entity2="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,69,mdb.models,"0066:     addUndoState=False, entity1=
0067:     mdb.models['Model-1'].sketches['__profile__'].geometry[4], entity2=
0068:     mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0069: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0070:     addUndoState=False, entity1=
0071:     mdb.models['Model-1'].sketches['__profile__'].vertices[4], entity2=
0072:     mdb.models['Model-1'].sketches['__profile__'].geometry[4])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,71,mdb.models,"0068:     mdb.models['Model-1'].sketches['__profile__'].geometry[9])
0069: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0070:     addUndoState=False, entity1=
0071:     mdb.models['Model-1'].sketches['__profile__'].vertices[4], entity2=
0072:     mdb.models['Model-1'].sketches['__profile__'].geometry[4])
0073: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0074:     addUndoState=False, entity1="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,72,mdb.models,"0069: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0070:     addUndoState=False, entity1=
0071:     mdb.models['Model-1'].sketches['__profile__'].vertices[4], entity2=
0072:     mdb.models['Model-1'].sketches['__profile__'].geometry[4])
0073: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0074:     addUndoState=False, entity1=
0075:     mdb.models['Model-1'].sketches['__profile__'].vertices[5], entity2="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,73,mdb.models,"0070:     addUndoState=False, entity1=
0071:     mdb.models['Model-1'].sketches['__profile__'].vertices[4], entity2=
0072:     mdb.models['Model-1'].sketches['__profile__'].geometry[4])
0073: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0074:     addUndoState=False, entity1=
0075:     mdb.models['Model-1'].sketches['__profile__'].vertices[5], entity2=
0076:     mdb.models['Model-1'].sketches['__profile__'].geometry[2])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,75,mdb.models,"0072:     mdb.models['Model-1'].sketches['__profile__'].geometry[4])
0073: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0074:     addUndoState=False, entity1=
0075:     mdb.models['Model-1'].sketches['__profile__'].vertices[5], entity2=
0076:     mdb.models['Model-1'].sketches['__profile__'].geometry[2])
0077: mdb.models['Model-1'].sketches['__profile__'].DistanceDimension(entity1=
0078:     mdb.models['Model-1'].sketches['__profile__'].geometry[9], entity2="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,76,mdb.models,"0073: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0074:     addUndoState=False, entity1=
0075:     mdb.models['Model-1'].sketches['__profile__'].vertices[5], entity2=
0076:     mdb.models['Model-1'].sketches['__profile__'].geometry[2])
0077: mdb.models['Model-1'].sketches['__profile__'].DistanceDimension(entity1=
0078:     mdb.models['Model-1'].sketches['__profile__'].geometry[9], entity2=
0079:     mdb.models['Model-1'].sketches['__profile__'].geometry[8], textPoint=("
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,77,mdb.models,"0074:     addUndoState=False, entity1=
0075:     mdb.models['Model-1'].sketches['__profile__'].vertices[5], entity2=
0076:     mdb.models['Model-1'].sketches['__profile__'].geometry[2])
0077: mdb.models['Model-1'].sketches['__profile__'].DistanceDimension(entity1=
0078:     mdb.models['Model-1'].sketches['__profile__'].geometry[9], entity2=
0079:     mdb.models['Model-1'].sketches['__profile__'].geometry[8], textPoint=(
0080:     -0.0126581858247519, 0.00346947299689054), value=0.002)"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,78,mdb.models,"0075:     mdb.models['Model-1'].sketches['__profile__'].vertices[5], entity2=
0076:     mdb.models['Model-1'].sketches['__profile__'].geometry[2])
0077: mdb.models['Model-1'].sketches['__profile__'].DistanceDimension(entity1=
0078:     mdb.models['Model-1'].sketches['__profile__'].geometry[9], entity2=
0079:     mdb.models['Model-1'].sketches['__profile__'].geometry[8], textPoint=(
0080:     -0.0126581858247519, 0.00346947299689054), value=0.002)
0081: mdb.models['Model-1'].sketches['__profile__'].linearPattern(angle1=0.0, angle2="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,79,mdb.models,"0076:     mdb.models['Model-1'].sketches['__profile__'].geometry[2])
0077: mdb.models['Model-1'].sketches['__profile__'].DistanceDimension(entity1=
0078:     mdb.models['Model-1'].sketches['__profile__'].geometry[9], entity2=
0079:     mdb.models['Model-1'].sketches['__profile__'].geometry[8], textPoint=(
0080:     -0.0126581858247519, 0.00346947299689054), value=0.002)
0081: mdb.models['Model-1'].sketches['__profile__'].linearPattern(angle1=0.0, angle2=
0082:     90.0, geomList=(mdb.models['Model-1'].sketches['__profile__'].geometry[9],"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,81,mdb.models,"0078:     mdb.models['Model-1'].sketches['__profile__'].geometry[9], entity2=
0079:     mdb.models['Model-1'].sketches['__profile__'].geometry[8], textPoint=(
0080:     -0.0126581858247519, 0.00346947299689054), value=0.002)
0081: mdb.models['Model-1'].sketches['__profile__'].linearPattern(angle1=0.0, angle2=
0082:     90.0, geomList=(mdb.models['Model-1'].sketches['__profile__'].geometry[9],
0083:     ), number1=13, number2=1, spacing1=0.002, spacing2=0.0056, vertexList=())
0084: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.014,"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,82,mdb.models,"0079:     mdb.models['Model-1'].sketches['__profile__'].geometry[8], textPoint=(
0080:     -0.0126581858247519, 0.00346947299689054), value=0.002)
0081: mdb.models['Model-1'].sketches['__profile__'].linearPattern(angle1=0.0, angle2=
0082:     90.0, geomList=(mdb.models['Model-1'].sketches['__profile__'].geometry[9],
0083:     ), number1=13, number2=1, spacing1=0.002, spacing2=0.0056, vertexList=())
0084: mdb.models['Model-1'].sketches['__profile__'].Line(point1=(-0.014,
0085:     0.000528883202001452), point2=(0.0139999999832362, 0.000528883202001452))"
