n,strategy_name,order_json,order_compact,candidate_source,predicted_surrogate_reward_lex,expected_future_case_dir,expected_future_inp,teacher_validation_status,stageE_required
16,PPOV01_N16_B03_surrogate_top,"[11,3,1,9,15,13,7,5,0,2,4,6,8,10,12,14]","11,3,1,9,15,13,7,5,0,2,4,6,8,10,12,14",PPO_checkpoint_inference,0.922934951521696,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B03_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B03_surrogate_top.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B04_surrogate_top,"[15,11,3,1,13,9,7,5,0,2,4,6,8,10,12,14]","15,11,3,1,13,9,7,5,0,2,4,6,8,10,12,14",PPO_checkpoint_inference,0.9131284243933823,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B04_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B04_surrogate_top.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B05_diverse_tophalf,"[11,3,1,15,13,5,9,7,0,2,4,6,8,10,12,14]","11,3,1,15,13,5,9,7,0,2,4,6,8,10,12,14",PPO_checkpoint_inference,0.8355004799605253,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B05_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B05_diverse_tophalf.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B06_diverse_tophalf,"[11,3,1,15,13,9,7,5,0,2,4,6,8,12,14,10]","11,3,1,15,13,9,7,5,0,2,4,6,8,12,14,10",PPO_checkpoint_inference,0.8819670057696751,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B06_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B06_diverse_tophalf.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B07_novelty_tophalf,"[11,3,1,15,13,9,7,5,0,2,4,6,8,10,14,12]","11,3,1,15,13,9,7,5,0,2,4,6,8,10,14,12",PPO_checkpoint_inference,0.8917884200541297,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B07_novelty_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B07_novelty_tophalf.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B08_stochastic_highreward,"[11,1,3,13,15,9,7,5,0,2,4,6,8,10,12,14]","11,1,3,13,15,9,7,5,0,2,4,6,8,10,12,14",PPO_checkpoint_inference,0.9037961437731936,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B08_stochastic_highreward,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B08_stochastic_highreward.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B01_deterministic,"[11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12]","11,1,3,15,23,21,19,17,13,9,7,5,0,2,6,8,4,10,16,18,20,22,14,12",PPO_checkpoint_inference,0.8505618707512,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B01_deterministic,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B01_deterministic.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B02_surrogate_top,"[11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14]","11,3,1,15,23,21,13,17,19,22,9,7,5,0,2,4,6,8,10,12,16,20,18,14",PPO_checkpoint_inference,1.0091418759102673,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B02_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B02_surrogate_top.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B03_surrogate_top,"[11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14]","11,1,3,15,21,23,19,17,13,22,9,7,5,0,2,6,8,4,10,12,16,18,20,14",PPO_checkpoint_inference,0.9761133439198456,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B03_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B03_surrogate_top.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B04_surrogate_top,"[11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14]","11,3,1,15,23,21,13,17,22,19,9,7,5,0,2,6,8,4,10,12,16,18,20,14",PPO_checkpoint_inference,0.953713022597192,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B04_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B04_surrogate_top.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B05_diverse_tophalf,"[11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14]","11,3,1,15,21,23,19,13,9,7,17,5,0,2,6,8,10,4,12,16,18,20,22,14",PPO_checkpoint_inference,0.8320582604183068,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B05_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B05_diverse_tophalf.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B06_diverse_tophalf,"[11,1,3,15,23,19,13,21,17,9,7,5,0,6,2,4,8,10,12,16,22,20,18,14]","11,1,3,15,23,19,13,21,17,9,7,5,0,6,2,4,8,10,12,16,22,20,18,14",PPO_checkpoint_inference,0.8246623968805307,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B06_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B06_diverse_tophalf.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B07_novelty_tophalf,"[11,3,1,15,23,21,19,13,7,17,9,5,0,2,6,8,4,10,16,18,22,20,14,12]","11,3,1,15,23,21,19,13,7,17,9,5,0,2,6,8,4,10,16,18,22,20,14,12",PPO_checkpoint_inference,0.8327216689462228,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B07_novelty_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B07_novelty_tophalf.inp,NOT_YET_VALIDATED,True
24,PPOV01_N24_B08_stochastic_highreward,"[11,1,3,15,21,23,19,17,9,22,13,7,5,0,2,6,4,8,10,12,16,18,20,14]","11,1,3,15,21,23,19,17,9,22,13,7,5,0,2,6,4,8,10,12,16,18,20,14",PPO_checkpoint_inference,0.9434726121127123,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N24_B08_stochastic_highreward,STAGE_E_PLACEHOLDER_INP/PPOV01_N24_B08_stochastic_highreward.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B01_deterministic,"[11,1,3,15,21,23,37,31,29,25,39,35,27,33,17,19,13,5,0,7,9,20,24,36,32,30,38,34,22,26,28,18,6,4,8,16,14,12,10,2]","11,1,3,15,21,23,37,31,29,25,39,35,27,33,17,19,13,5,0,7,9,20,24,36,32,30,38,34,22,26,28,18,6,4,8,16,14,12,10,2",PPO_checkpoint_inference,0.7291352256805205,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B01_deterministic,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B01_deterministic.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B02_surrogate_top,"[11,3,1,15,23,21,29,31,37,39,27,17,33,35,19,25,13,9,0,7,5,20,22,32,36,34,24,26,30,38,28,6,2,18,4,8,10,16,14,12]","11,3,1,15,23,21,29,31,37,39,27,17,33,35,19,25,13,9,0,7,5,20,22,32,36,34,24,26,30,38,28,6,2,18,4,8,10,16,14,12",PPO_checkpoint_inference,0.7925207039136701,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B02_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B02_surrogate_top.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B03_surrogate_top,"[11,1,3,15,37,29,21,23,31,35,33,27,39,25,13,17,19,9,7,5,0,6,20,30,36,22,24,26,32,34,38,28,18,14,16,4,2,8,12,10]","11,1,3,15,37,29,21,23,31,35,33,27,39,25,13,17,19,9,7,5,0,6,20,30,36,22,24,26,32,34,38,28,18,14,16,4,2,8,12,10",PPO_checkpoint_inference,0.79162402756793,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B03_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B03_surrogate_top.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B04_surrogate_top,"[11,1,3,15,21,17,37,39,29,31,35,13,23,27,25,33,19,9,0,5,7,20,24,32,26,34,22,38,36,30,28,8,6,4,16,18,12,14,10,2]","11,1,3,15,21,17,37,39,29,31,35,13,23,27,25,33,19,9,0,5,7,20,24,32,26,34,22,38,36,30,28,8,6,4,16,18,12,14,10,2",PPO_checkpoint_inference,0.7800979200243813,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B04_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B04_surrogate_top.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B05_diverse_tophalf,"[11,3,1,21,15,27,39,35,25,37,31,29,19,23,33,17,7,13,5,0,9,30,20,24,32,38,28,34,36,26,22,16,6,8,12,4,2,14,18,10]","11,3,1,21,15,27,39,35,25,37,31,29,19,23,33,17,7,13,5,0,9,30,20,24,32,38,28,34,36,26,22,16,6,8,12,4,2,14,18,10",PPO_checkpoint_inference,0.6872466171957923,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B05_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B05_diverse_tophalf.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B06_diverse_tophalf,"[11,1,15,3,39,21,23,17,27,37,31,35,33,29,25,19,13,7,5,0,6,9,20,22,24,30,32,36,34,26,38,28,14,18,4,2,8,10,12,16]","11,1,15,3,39,21,23,17,27,37,31,35,33,29,25,19,13,7,5,0,6,9,20,22,24,30,32,36,34,26,38,28,14,18,4,2,8,10,12,16",PPO_checkpoint_inference,0.7738833867775003,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B06_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B06_diverse_tophalf.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B07_novelty_tophalf,"[11,1,3,27,15,21,37,39,33,31,35,23,25,29,17,19,9,5,0,7,13,28,36,38,22,24,20,32,30,34,26,18,6,16,14,12,4,8,10,2]","11,1,3,27,15,21,37,39,33,31,35,23,25,29,17,19,9,5,0,7,13,28,36,38,22,24,20,32,30,34,26,18,6,16,14,12,4,8,10,2",PPO_checkpoint_inference,0.7694586120361706,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B07_novelty_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B07_novelty_tophalf.inp,NOT_YET_VALIDATED,True
40,PPOV01_N40_B08_stochastic_highreward,"[11,3,1,15,21,29,35,23,37,39,31,33,19,17,25,27,32,13,9,0,7,5,20,22,38,36,34,26,24,30,28,6,18,10,16,14,4,2,8,12]","11,3,1,15,21,29,35,23,37,39,31,33,19,17,25,27,32,13,9,0,7,5,20,22,38,36,34,26,24,30,28,6,18,10,16,14,4,2,8,12",PPO_checkpoint_inference,0.7760609826258655,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N40_B08_stochastic_highreward,STAGE_E_PLACEHOLDER_INP/PPOV01_N40_B08_stochastic_highreward.inp,NOT_YET_VALIDATED,True
