n,objective,rank,value,lower_is_better,strategy_name,handoff_strategy_name,dataset_source,order_hash,order_compact,order_json,teacher_validation_status,completion_status,odb_extraction_status,solver_audit_status,job_name,source_run
12,constrained_reward,1,0.859090909090909,False,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,constrained_reward,2,0.8487012987012987,False,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,constrained_reward,3,0.8428571428571429,False,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,constrained_reward,4,0.8155844155844155,False,S3R69SNR_N12_B04_n12_diversity,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,aba4f532c2397564,9-7-11-5-3-1-0-2-4-6-8-10,"[9,7,11,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B04_n12_diversity,Run71
12,constrained_reward,5,0.8064935064935064,False,S3R74FSD_N12_B04_n12_reward_bal,S3R74FSD_N12_B04_n12_reward_bal,run76_final_smallN_diagnostic_batch32,b951ef56dcaf8d0c,11-7-5-9-3-1-0-2-4-6-8-10,"[11,7,5,9,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B04_n12_reward_bal,Run76
12,strict_penalty_guard,1,0.8538961038961039,False,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,strict_penalty_guard,2,0.8461038961038962,False,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,strict_penalty_guard,3,0.8175324675324676,False,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,strict_penalty_guard,4,0.8162337662337662,False,S3R69SNR_N12_B04_n12_diversity,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,aba4f532c2397564,9-7-11-5-3-1-0-2-4-6-8-10,"[9,7,11,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B04_n12_diversity,Run71
12,strict_penalty_guard,5,0.7928571428571429,False,S3R74FSD_N12_B04_n12_reward_bal,S3R74FSD_N12_B04_n12_reward_bal,run76_final_smallN_diagnostic_batch32,b951ef56dcaf8d0c,11-7-5-9-3-1-0-2-4-6-8-10,"[11,7,5,9,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B04_n12_reward_bal,Run76
12,penalty_repair,1,0.8275974025974026,False,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,penalty_repair,2,0.8185064935064934,False,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,penalty_repair,3,0.7866883116883117,False,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,penalty_repair,4,0.786038961038961,False,S3R69SNR_N12_B04_n12_diversity,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,aba4f532c2397564,9-7-11-5-3-1-0-2-4-6-8-10,"[9,7,11,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B04_n12_diversity,Run71
12,penalty_repair,5,0.7522727272727272,False,S3R74FSD_N12_B04_n12_reward_bal,S3R74FSD_N12_B04_n12_reward_bal,run76_final_smallN_diagnostic_batch32,b951ef56dcaf8d0c,11-7-5-9-3-1-0-2-4-6-8-10,"[11,7,5,9,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B04_n12_reward_bal,Run76
16,U2,1,2.926077831943985e-05,True,S3R74FSD_N16_B13_n16_run71_local,S3R74FSD_N16_B13_n16_run71_local,run76_final_smallN_diagnostic_batch32,cb0a72a06b7d08c9,14-12-8-4-6-10-2-0-1-3-5-7-9-11-13-15,"[14,12,8,4,6,10,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B13_n16_run71_local,Run76
16,U2,2,3.467050373728853e-05,True,S3R69SNR_N16_B09_n16_recovery_top,S3R69SNR_N16_B09_n16_recovery_top,run71_smallN_recovery_focused_batch40,fddaa8419eb1b748,8-6-4-14-12-10-2-0-1-3-7-5-9-11-13-15,"[8,6,4,14,12,10,2,0,1,3,7,5,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N16_B09_n16_recovery_top,Run71
16,U2,3,3.4737099667836446e-05,True,S3R74FSD_N16_B03_n16_reward_bal,S3R74FSD_N16_B03_n16_reward_bal,run76_final_smallN_diagnostic_batch32,543b47f89dc534e4,14-12-10-8-6-4-2-0-1-3-5-7-9-11-13-15,"[14,12,10,8,6,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B03_n16_reward_bal,Run76
16,U2,4,3.502699360069528e-05,True,S3R74FSD_N16_B01_n16_penalty,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,5e0129a21f85cd34,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,"[14,6,10,12,8,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B01_n16_penalty,Run76
16,U2,5,3.5666283110913355e-05,True,S3R64VNR_N16_B06_n16_anchor_top,S3R64VNR_N16_B06_n16_anchor_top,run66_variable_N_recovery_anchor_batch48,d1119557bb11b290,8-6-4-2-14-12-10-0-1-3-5-7-9-11-13-15,"[8,6,4,2,14,12,10,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N16_B06_n16_anchor_top,Run66
16,PEEQ,1,0.1457871496677398,True,S3R74FSD_N16_B01_n16_penalty,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,5e0129a21f85cd34,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,"[14,6,10,12,8,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B01_n16_penalty,Run76
16,PEEQ,2,0.1472253948450088,True,S3R69SNR_N16_B16_n16_uncertainty,S3R69SNR_N16_B16_n16_uncertainty,run71_smallN_recovery_focused_batch40,cac603eae21fc23f,8-6-4-12-14-10-2-0-1-3-5-7-9-11-13-15,"[8,6,4,12,14,10,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N16_B16_n16_uncertainty,Run71
16,PEEQ,3,0.1477783918380737,True,S3R64VNR_N16_B02_n16_penalty,S3R64VNR_N16_B02_n16_penalty,run66_variable_N_recovery_anchor_batch48,4b32b0c92d424de1,0-2-4-6-8-12-14-10-7-5-3-1-9-11-13-15,"[0,2,4,6,8,12,14,10,7,5,3,1,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N16_B02_n16_penalty,Run66
16,PEEQ,4,0.1477939337491989,True,S3R69SNR_N16_B05_n16_penalty,S3R69SNR_N16_B05_n16_penalty,run71_smallN_recovery_focused_batch40,cc4d67e1e5ec43e9,8-10-6-14-12-4-2-0-1-3-5-7-9-11-13-15,"[8,10,6,14,12,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N16_B05_n16_penalty,Run71
16,PEEQ,5,0.1480086147785186,True,S3R64VNR_N16_B08_n16_anchor_top,S3R64VNR_N16_B08_n16_anchor_top,run66_variable_N_recovery_anchor_batch48,2755bf302a015d7b,10-6-4-2-14-12-8-0-1-3-5-7-9-11-13-15,"[10,6,4,2,14,12,8,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N16_B08_n16_anchor_top,Run66
16,SurfaceT,1,580887040.0,True,S3R74FSD_N16_B03_n16_reward_bal,S3R74FSD_N16_B03_n16_reward_bal,run76_final_smallN_diagnostic_batch32,543b47f89dc534e4,14-12-10-8-6-4-2-0-1-3-5-7-9-11-13-15,"[14,12,10,8,6,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B03_n16_reward_bal,Run76
16,SurfaceT,2,580893440.0,True,S3R69SNR_N16_B08_n16_reward_bal,S3R69SNR_N16_B08_n16_reward_bal,run71_smallN_recovery_focused_batch40,9f2affc6293807d3,8-6-14-10-12-4-2-0-1-3-5-7-9-11-13-15,"[8,6,14,10,12,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N16_B08_n16_reward_bal,Run71
16,SurfaceT,3,580899648.0,True,N16_A09_center_edge_alternating,,probe60_run08,,,"[7,0,8,15,6,1,9,14,5,2,10,13,4,3,11,12]",PASS_ODB_EXTRACTED,,,,J2D_N16_N16_A09_center_edge_alternating,Run08
16,SurfaceT,4,580903232.0,True,S3R74FSD_N16_B13_n16_run71_local,S3R74FSD_N16_B13_n16_run71_local,run76_final_smallN_diagnostic_batch32,cb0a72a06b7d08c9,14-12-8-4-6-10-2-0-1-3-5-7-9-11-13-15,"[14,12,8,4,6,10,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B13_n16_run71_local,Run76
16,SurfaceT,5,580903872.0,True,S3R74FSD_N16_B01_n16_penalty,S3R74FSD_N16_B01_n16_penalty,run76_final_smallN_diagnostic_batch32,5e0129a21f85cd34,14-6-10-12-8-4-2-0-1-3-5-7-9-11-13-15,"[14,6,10,12,8,4,2,0,1,3,5,7,9,11,13,15]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N16_B01_n16_penalty,Run76
16,Mises,1,579946752.0,True,N16_A07_regular_jump_coprime,,probe60_run08,,,"[0,5,10,15,4,9,14,3,8,13,2,7,12,1,6,11]",PASS_ODB_EXTRACTED,,,,J2D_N16_N16_A07_regular_jump_coprime,Run08
16,Mises,2,579946816.0,True,N16_A05_center_out,,probe60_run08,,,"[7,8,6,9,5,10,4,11,3,12,2,13,1,14,0,15]",PASS_ODB_EXTRACTED,,,,J2D_N16_N16_A05_center_out,Run08
16,Mises,3,579946816.0,True,N16_A12_graph_pointer_policy_diverse_02,,probe60_run08,,,"[9,5,10,4,11,3,12,2,13,1,14,0,15,7,8,6]",PASS_ODB_EXTRACTED,,,,J2D_N16_N16_A12_graph_pointer_policy_diverse_02,Run08
